"","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","AverageFRic"
"A1Z1",0.352371700011176,0.78253532230799,0.556893812813731,0.969443116615006,0.753155893921585,0.506372484672828,0.778181892068866,0.771816543716828,0.740422647670539,0.676905701315012,0.487136031607349,0.778181892068866,0.753155893921584,0.738700788285251,0.753155893921585,0.746787996022578,0.778181892068866,0.662450595678678,0.738700788285251,0.732332890386243,0.808738775453859,0.807561320455272,0.683856141415252,0.734102240469962,0.732332890386244,0.763726786432532,0.763726786432532,0.778181892068866,0.746787996022578,0.778181892068867,0.753155893921584,0.763726786432532,0.50021710626718,0.753155893921585,0.490986251781436,0.961776085915225,0.693945384537779,0.732332890386243,0.778181892068867,0.954988010978672,0.796028447895076,0.763726786432532,0.783712777306578,0.732332890386243,0.753155893921585,0.778181892068866,0.763726786432532,0.732332890386243,0.777344879407571,0.778181892068866,0.763726786432532,0.561083476433699,0.570397176092883,0.770195577144351,0.746787996022578,0.78253532230799,0.753155893921585,0.778181892068866,0.782535322307991,0.776798105906849,0.783712777306578,0.78253532230799,0.475506520989174,0.807561320455272,0.746787996022578,0.483725485648644,0.763726786432531,0.763726786432532,0.847067473170927,0.51997348826187,0.778181892068866,0.979622641741435,0.952704736448465,0.925363465016102,0.991155514301631,0.763726786432532,0.738700788285251,0.753155893921585,0.778181892068866,0.753155893921585,0.753155893921584,0.961559044579637,0.998822545001412,0.746787996022578,0.738700788285251,0.779114229491289,0.808738775453859,0.410652720152494,0.782535322307991,0.73870078828525,0.892079462192255,0.506372484672828,0.78253532230799,0.539191849717318,0.746787996022578,0.689298659217678,0.954988010978672,0.763726786432531,0.746787996022577,0.807561320455272,0.745170408324778
"A1Z2",0.325578727628879,0.73870078828525,1,0.753155893921585,0.439294900702323,0.778181892068866,0.73870078828525,0.961776085915225,0.847067473170927,0.73870078828525,0.738700788285251,0.657083086571206,0.783712777306578,0.73870078828525,0.763726786432532,0.778181892068867,0.450588056136388,0.537488414526745,0.73870078828525,0.665548104462868,0.778181892068866,0.504381551200793,0.732332890386243,0.763726786432532,0.529674950696134,0.466117738670467,0.532948049254303,0.778181892068866,0.78253532230799,0.778181892068866,0.753155893921585,0.462800002436142,0.662450595678678,0.10827656831214,0.738700788285251,0.99115551430163,0.78253532230799,0.782535322307991,0.753155893921585,0.732332890386243,0.753155893921584,0.778181892068867,0.223240917728314,0.78253532230799,0.473933181787194,0.66809518166589,0.73870078828525,0.778181892068866,0.763726786432533,0.692129417849123,0.516860693660205,0.490169118055684,0.778181892068867,0.648294883826383,0.763726786432533,0.763726786432532,0.763726786432532,0.235554586446627,0.763726786432532,0.771002449747795,0.80873877545386,0.676905701315012,0.778181892068866,0.504662413686527,0.807561320455272,0.777344879407571,0.648294883826384,0.662450595678678,0.191847021682025,0.73870078828525,0.738700788285251,0.753155893921585,0.795221575291634,0.778181892068866,0.662450595678678,0.738700788285251,0.496706278030013,0.782535322307991,0.771002449747794,0.732332890386244,0.753155893921585,0.532948049254303,0.746787996022578,0.808738775453859,0.770195577144351,0.693306872847711,0.676905701315012,0.592330595308727,0.507922051107021,0.475667517939373,0.808738775453861,0.676905701315012,0.753155893921585,0.471976604022604,0.763726786432532,0.78253532230799,0.706285129701417,0.701395248768404,0.738700788285251,0.499776740877669,0.680386353885537
"A1Z3",0.337293768248817,0.738700788285251,0.796028447895075,0.676905701315012,0.746787996022578,0.753155893921585,0.653058301749644,0.796028447895076,0.524195758117253,0.753155893921585,0.676905701315012,0.706285129701417,0.748557346106296,0.662749989462718,0.712993500723435,0.763726786432532,0.753155893921584,0.808738775453859,0.472686512628261,0.707462584700005,0.753155893921585,0.708721134619757,0.659432065273318,0.763827679245345,0.763726786432532,0.808738775453859,0.738700788285251,0.563691867672614,0.73870078828525,0.763726786432532,0.807561320455272,0.732332890386243,0.746787996022578,0.778181892068866,0.763726786432532,0.807561320455272,0.783712777306578,0.73870078828525,0.348805433322803,0.78253532230799,0.515175041456051,0.732332890386244,0.732332890386243,0.490149043308769,0.753155893921585,0.523281842611488,0.938049220568718,0.657209527734956,0.748557346106296,0.511526419491053,0.778181892068867,0.676905701315012,0.778181892068866,0.778181892068867,0.807561320455272,0.808738775453859,0.746787996022578,0.78253532230799,0.738700788285251,0.535503920268319,0.969443116615007,0.763726786432533,0.491143736817749,0.778181892068866,0.498255844464207,0.648294883826384,0.738700788285251,0.778181892068867,0.753155893921585,0.73870078828525,0.753155893921585,0.783712777306578,0.783712777306578,0.676905701315012,0.73870078828525,0.753155893921585,0.777936774492701,0.537488414526745,0.961776085915225,0.753155893921585,0.753155893921585,0.732332890386244,0.232470585665545,0.778181892068866,0.531328136707663,0.78253532230799,0.778181892068866,0.698038054171518,0.960751084684399,0.697211854658549,0.78253532230799,0.511036814434701,0.746787996022578,0.500604823166319,0.467352398545265,0.73870078828525,0.807679950649137,0.738700788285251,0.782535322307991,0.732332890386243,0.708038932514992
"A2Z1",0.382567572983817,0.763726786432532,0.535297027956415,0.764634551848788,0.778181892068866,0.954988010978672,0.763726786432532,0.783712777306578,0.533168352803607,0.738700788285251,0.807561320455271,0.795221575291633,0.778181892068866,0.549134030974047,0.738700788285251,0.732332890386243,0.783712777306578,0.763726786432532,0.776286054602849,0.778181892068866,0.705326470023654,0.778181892068867,0.692129417849123,0.778181892068866,0.763726786432532,0.706876036457847,0.73870078828525,0.732332890386243,0.738700788285251,0.746787996022578,0.746787996022578,0.541014848227445,0.509870106826839,0.648294883826384,0.78253532230799,0.499049639853971,0.771002449747795,0.535297027956415,0.732332890386243,0.746787996022578,0.753155893921584,0.662450595678678,0.782535322307991,0.662749989462718,0.498255844464207,0.541879354797511,0.746787996022578,0.707462584700006,0.738700788285251,0.778181892068867,0.947320980278891,0.746787996022578,0.753155893921585,0.648294883826383,0.763726786432532,0.73870078828525,0.778181892068867,0.776167424408984,0.73870078828525,0.778181892068866,0.969443116615007,0.763726786432532,0.468275743625257,0.488762437384479,0.753155893921585,0.986482799837774,0.236839519277441,0.705366168425797,0.676905701315012,0.732332890386243,0.778181892068866,0.508949227259769,0.778181892068866,0.738700788285251,0.553895072872461,0.537657084942128,0.763726786432532,0.782535322307991,0.861522578807261,0.753155893921585,0.567728748852487,0.738700788285251,0.487596815737474,0.523338189487468,0.778181892068866,0.808738775453859,0.676905701315012,0.372624278035825,0.505025425570312,0.738700788285251,0.538665869525333,0.778181892068866,0.676905701315012,0.782535322307991,0.954988010978672,0.763726786432532,0.807561320455272,0.73870078828525,0.961776085915225,0.552717617873873,0.705281406557739
"A2Z2",0.337293768248817,0.777344879407571,0.753155893921585,0.73870078828525,0.748557346106295,0.753155893921585,0.707462584700005,0.738700788285251,0.992332969300218,0.763726786432531,0.707462584700005,0.763726786432532,0.783712777306578,0.748557346106296,0.662450595678678,0.746787996022578,0.778181892068867,0.753155893921585,0.521732276177294,0.535622550462185,0.771816543716828,0.807561320455273,0.72265970736625,0.549134030974047,0.954988010978672,0.778181892068866,0.506264274654157,0.753155893921585,0.770195577144351,0.969443116615006,0.763726786432532,0.78253532230799,0.80873877545386,0.808738775453859,0.478884572773238,0.530051423717594,0.223240917728314,0.763726786432532,0.738700788285251,0.763726786432532,0.753155893921585,0.532948049254303,0.738700788285251,0.676905701315012,0.783712777306578,0.753155893921586,0.734745596812203,0.807561320455272,0.890902007193666,0.80873877545386,0.795221575291633,0.783712777306578,0.807561320455272,0.676905701315012,0.947320980278891,0.795221575291633,0.753155893921585,0.510271029809134,0.746787996022578,0.986482799837773,0.771002449747795,0.502357863889168,0.986482799837774,0.753155893921585,0.78253532230799,0.770195577144352,0.961776085915225,0.778181892068866,0.783712777306578,0.73870078828525,0.783712777306578,0.969443116615007,0.795221575291634,0.746787996022578,0.746787996022577,0.778181892068867,0.795221575291633,0.778181892068866,0.807561320455272,0.771816543716828,0.483763274252529,0.783712777306578,0.954988010978673,0.771002449747795,0.707462584700005,0.552502872542964,0.753155893921585,0.411631563171087,0.763726786432532,0.783712777306578,0.485472893801471,0.753155893921585,0.753155893921585,0.511036814434701,0.764634551848787,0.808738775453859,0.78253532230799,0.763726786432532,0.648294883826384,0.753155893921585,0.736310469893631
"A2Z3",0.493696145192162,0.746787996022577,0.778181892068866,0.783712777306578,0.738700788285251,0.807561320455272,0.753155893921585,0.807561320455272,0.753155893921585,0.771816543716828,0.738700788285251,0.738700788285251,0.753155893921585,0.707462584700005,0.763726786432532,0.776167424408984,0.783712777306578,0.763726786432532,0.738700788285251,0.778181892068866,0.808738775453859,0.676905701315012,0.782653952501856,0.808738775453859,0.778181892068867,0.923594114932384,0.738700788285251,0.657209527734956,0.783712777306578,0.535938848092551,0.515576897771647,0.782535322307991,0.763726786432532,0.778181892068866,0.778181892068867,0.763726786432532,0.947320980278891,0.472466209078957,0.796028447895076,0.73870078828525,0.807561320455272,0.73870078828525,0.783712777306578,0.80873877545386,0.778181892068866,0.763726786432532,0.783712777306578,0.80873877545386,0.783712777306578,0.782535322307991,0.770195577144351,0.776167424408984,0.763726786432533,0.705366168425798,0.783712777306578,0.78253532230799,0.992332969300218,0.56214230123842,0.808738775453859,0.753155893921585,0.808738775453859,0.562142301238421,0.732332890386244,0.521732276177294,0.552502872542964,0.553489541989496,0.80873877545386,0.80873877545386,0.732332890386244,0.763726786432532,0.969443116615006,0.753155893921585,0.778181892068867,0.783712777306578,0.694752257141222,0.947320980278891,0.795221575291633,0.778181892068867,0.987289672441216,0.783712777306578,0.969443116615007,0.510251774430703,0.738700788285251,0.80873877545386,0.763726786432532,0.707462584700005,0.763726786432532,0.717962158928804,0.693306872847711,0.753155893921585,0.80873877545386,0.753155893921585,0.763726786432532,0.778181892068867,0.537093469241084,0.763726786432532,0.746787996022578,0.707462584700005,0.763726786432532,0.763726786432531,0.752730362406976
"A3Z1",0.339789503463596,0.778181892068866,0.783712777306578,0.662450595678678,0.73870078828525,0.515175041456051,0.542955778461588,0.499049639853972,0.753155893921585,0.728380070175261,0.662749989462718,0.753155893921585,0.694752257141222,0.738700788285251,0.763726786432532,0.515917536754239,0.753155893921585,0.763726786432532,0.954988010978673,0.783712777306578,0.500809943460563,0.795221575291633,0.662450595678678,0.763726786432533,0.778181892068866,0.53711884562912,0.480047449687406,0.777344879407571,0.648294883826384,0.676905701315012,0.776167424408983,0.521115706216474,0.662450595678678,0.501292587069723,0.969443116615007,0.763726786432532,0.690911062789463,0.705366168425797,0.778181892068867,0.738700788285251,0.947320980278891,0.501126880434007,0.778181892068867,0.753155893921584,0.763726786432532,0.451635051525033,0.740474507499507,0.723212724252006,0.738700788285251,0.54666117818013,0.708721134619757,0.78253532230799,0.48939637775389,0.763726786432532,0.763726786432532,0.753155893921585,0.763726786432531,0.732332890386243,0.77734487940757,0.753155893921585,0.796028447895076,0.802373427101821,0.78253532230799,0.506372484672828,0.763726786432532,0.763726786432532,0.705366168425797,0.73870078828525,0.763726786432532,0.763827679245345,0.676905701315012,0.778181892068866,0.778181892068867,0.763726786432532,0.808738775453859,0.510681929307428,0.706285129701418,0.734102240469961,0.693945384537779,0.778181892068867,0.778181892068866,0.738700788285251,0.778181892068866,0.778181892068867,0.363260538959137,0.706285129701417,0.732332890386244,0.59868339959413,0.753155893921585,0.539837393228857,0.783712777306578,0.778181892068867,0.753155893921585,0.171971718474913,0.78253532230799,0.510681929307427,0.776167424408983,0.662749989462717,0.778181892068866,0.832911761318633,0.69897985428177
"A3Z2",0.41310317634582,0.73870078828525,0.778181892068866,0.753155893921585,0.648294883826384,0.738700788285251,0.511526419491053,0.753155893921584,0.662450595678678,0.746787996022578,0.762599426263017,0.738700788285251,0.992332969300218,0.778181892068867,0.753155893921584,0.753155893921585,0.763726786432533,0.753155893921585,0.73870078828525,0.491907202535039,0.520222879290054,0.693306872847711,0.807561320455272,0.732332890386244,0.778181892068866,0.73870078828525,0.662450595678678,0.763726786432532,0.732332890386243,0.544964249365167,0.740422647670539,0.778181892068866,0.662450595678678,0.523338189487467,0.796028447895076,0.771002449747794,0.693945384537779,0.99115551430163,0.707462584700005,0.491494576644357,0.763726786432532,0.763726786432532,0.732332890386244,0.746241222521856,0.746787996022578,0.78253532230799,0.746787996022578,0.987289672441217,0.78253532230799,0.776798105906849,0.732332890386244,0.732332890386243,0.783712777306578,0.763726786432532,0.778181892068866,0.563691867672614,0.753155893921585,0.778181892068866,0.763726786432531,0.763726786432532,0.783712777306578,0.732332890386244,0.80873877545386,0.795221575291633,0.763726786432533,0.732332890386243,0.659432065273318,0.777344879407571,0.73870078828525,0.763726786432531,0.938049220568718,0.777344879407571,0.746787996022578,0.782535322307991,0.776167424408983,0.808738775453859,0.738700788285251,0.746787996022578,0.690911062789463,0.732332890386244,0.748557346106296,0.783712777306578,0.763726786432532,0.732332890386243,0.753155893921584,0.776167424408983,0.78253532230799,0.751030567484486,0.732332890386243,0.753155893921585,0.707462584700005,0.753155893921585,0.753155893921585,0.706939855208904,0.78253532230799,0.938049220568718,0.778181892068866,0.510271029809134,0.676905701315011,0.78253532230799,0.738999989537025
"A3Z3",0.468842683404902,0.763726786432532,0.998941175195278,0.676905701315012,0.490891538606958,0.778181892068867,0.778181892068866,0.746787996022578,0.777344879407571,0.746787996022578,0.777344879407571,0.73870078828525,0.778181892068867,0.770195577144352,0.777344879407571,0.782535322307991,0.738700788285251,0.782653952501856,0.763726786432533,0.782653952501856,0.763726786432532,0.782535322307991,0.778181892068866,0.938049220568719,0.998822545001413,0.778181892068867,0.807561320455272,0.738700788285251,0.763726786432532,0.78253532230799,0.51997348826187,0.782535322307991,0.535297027956416,0.738700788285251,0.778181892068866,0.778181892068867,0.490149043308769,0.807561320455272,0.778181892068866,0.746787996022577,0.771002449747794,0.969443116615006,0.807561320455272,0.778181892068866,0.753155893921585,0.73870078828525,0.94732098027889,0.771816543716828,0.753155893921585,0.998822545001412,0.753155893921585,0.78253532230799,0.525630821313601,0.732332890386243,0.676905701315012,0.955088903791485,0.537116303091139,0.724209273800443,0.746787996022578,0.532402398382035,0.969443116615007,0.662450595678678,0.795221575291633,0.524108032826766,0.763726786432533,0.778181892068867,0.778181892068866,0.807561320455272,0.753155893921585,0.998822545001412,0.783712777306578,0.746787996022578,0.808738775453859,0.546104353664016,0.763726786432532,0.807561320455271,0.73870078828525,0.753155893921585,0.470792249344361,0.763726786432532,0.796028447895076,0.746787996022578,0.969443116615006,0.992332969300218,0.807679950649137,0.783712777306578,0.456477900604109,0.763360930989511,0.746787996022578,0.987289672441216,0.807679950649138,0.531398482820109,0.771002449747795,0.738700788285251,0.753155893921585,0.676905701315012,0.746787996022578,0.807561320455272,0.808738775453859,0.808738775453859,0.757759640956167
"A4Z1",0.128730180253023,0.523338189487467,0.738700788285251,0.676905701315012,0.328880483851184,0.467945631163797,0.433924316216193,0.490149043308769,0.403274804636826,0.648294883826383,0.732332890386243,0.732332890386243,0.489648266548484,0.648294883826384,0.246418803367991,0.434909416329741,0.464221100156308,0.411500935828325,0.281086123863871,0.738700788285251,0.537488414526745,0.923594114932384,0.738700788285251,0.512407402149393,0.746787996022578,0.648294883826383,0.662749989462718,0.648294883826384,0.923594114932384,0.336476654326873,0.451635051525033,0.80873877545386,0.495383092165625,0.444210229645614,0.410484242019807,0.475745566366215,0.482598505557301,0.795221575291633,0.679789672685484,0.447859389952231,0.671965421875081,0.560529918415601,0.676905701315012,0.452934564258473,0.508883083851133,0.540377872710235,0.146365276725553,0.466896706419499,0.23723540889982,0.51978753022925,0.738700788285251,0.515112869756907,0.451420737129852,0.753155893921585,0.763726786432531,0.778181892068866,0.847067473170927,0.50160286579931,0.120538631988768,0.770195577144352,0.526152878581288,0.186277431479138,0.753155893921585,0.34719087530966,0.349224940808192,0.442319583228069,0.507998174637467,0.480983558574617,0.676905701315012,0.648294883826383,0.738700788285251,0.354486300451287,0.411183017750019,0.410858916717314,0.232470585665544,0.738700788285251,0.0101751252592472,0.746787996022578,0.78253532230799,0.738700788285251,0.464971200177525,0.753155893921585,0.73870078828525,0.508883083851133,0.508883083851133,0.382738864117998,0.847366866954967,0.37405177529865,0.740422647670539,0.662450595678677,0.732354007456917,0.753155893921585,0.738700788285251,0.507884591462707,0.732332890386243,0.648294883826383,0.732332890386243,0.422132177742732,0.194001145607723,0.673713109861449,0.554108611941305
